Loan Type,Description
Personal Loan,A personal loan is typically unsecured and can be used for various personal expenses.
Home Loan,A home loan is used to purchase a house and is secured by the property itself.
Car Loan,A car loan is used to purchase a vehicle and is secured by the car.
Student Loan,A student loan is designed to help students pay for post-secondary education expenses.
Mortgage Loan,A mortgage loan is a type of secured loan specifically for purchasing real estate.
Business Loan,A business loan is used to fund a business operation or project.
Payday Loan,"A payday loan is a short-term loan with a high interest rate, typically due on the borrower's next payday."
Debt Consolidation Loan,A debt consolidation loan combines multiple debts into a single loan with one payment.
Secured Loan,A secured loan is backed by collateral to reduce the risk for the lender.
Unsecured Loan,"An unsecured loan is not backed by collateral, relying instead on the borrower's creditworthiness."
